date,region,product,sales
2024-01-05,South,Widget B,1352
2024-01-17,North,Gadget Z,1721
2024-02-04,South,Widget Y,1150
2024-03-01,East,Widget B,1232
2024-03-14,North,Widget C,1673
2024-01-04,East,Widget C,1187
2024-02-15,North,Widget A,547
2024-03-21,West,Widget X,1932
2024-02-19,East,Widget B,1397
2024-03-18,North,Gadget Z,530
2024-01-18,East,Widget B,1838
2024-02-19,West,Widget B,1264
2024-01-02,North,Widget Y,1088
2024-02-02,South,Widget Y,1371
2024-02-10,North,Widget C,1566
2024-02-03,East,Widget B,1581
2024-02-13,West,Gadget Z,902
2024-03-17,West,Widget C,809
2024-01-13,North,Widget B,1697
2024-03-09,East,Gadget Z,768
2024-01-21,West,Widget C,1008
2024-03-02,East,Widget Y,805
2024-01-20,West,Widget C,1608
2024-01-31,North,Widget C,1708
2024-03-31,South,Widget C,925
2024-01-30,South,Widget C,1131
2024-03-30,West,Widget Y,868
2024-02-15,North,Widget X,623
2024-01-08,South,Widget C,804
2024-03-27,North,Widget B,1660
2024-01-08,North,Widget Y,564
2024-02-17,East,Widget A,1879
2024-01-17,South,Widget Y,680
2024-02-25,West,Widget B,1200
2024-03-19,West,Widget C,1391
2024-03-06,East,Gadget Z,736
2024-01-07,North,Widget X,1836
2024-01-06,South,Widget A,940
2024-02-17,West,Widget Y,612
2024-02-14,East,Widget Y,1201
2024-01-26,East,Gadget Z,1840
2024-02-17,North,Widget B,1093
2024-02-10,South,Widget A,1464
2024-02-19,East,Widget Y,1627
2024-02-19,North,Widget Y,534
2024-02-18,West,Widget C,731
2024-03-12,North,Gadget Z,1590
2024-02-26,East,Widget Y,822
2024-02-04,West,Gadget Z,1016
2024-03-25,North,Widget C,1898
2024-03-08,South,Widget B,1536
2024-02-23,South,Widget Y,1172
2024-01-01,West,Gadget Z,1829
2024-03-06,East,Widget A,1462
2024-03-18,North,Widget B,1363
2024-01-31,East,Widget A,1736
2024-02-14,West,Widget A,1886
2024-02-18,North,Widget B,1982
2024-02-09,North,Widget X,1047
2024-01-08,East,Widget B,938
2024-03-06,South,Widget Y,1127
2024-02-02,West,Widget X,1495
2024-01-12,North,Widget A,519
2024-01-25,South,Widget C,1585
2024-02-12,North,Gadget Z,501
2024-02-18,East,Widget C,538
2024-01-27,East,Widget B,963
2024-03-12,South,Widget B,675
2024-03-30,East,Widget C,1251
2024-03-15,North,Widget C,1292
2024-02-16,North,Widget X,1395
2024-01-23,West,Widget B,697
2024-01-20,South,Widget X,935
2024-03-24,North,Widget A,1026
2024-01-18,East,Widget A,1372
2024-02-23,East,Widget A,1546
2024-03-04,North,Widget X,1263
2024-01-22,East,Widget Y,1338
2024-03-17,North,Widget Y,1364
2024-03-18,North,Widget C,944
2024-02-04,West,Gadget Z,1167
2024-01-23,North,Widget C,692
2024-02-09,East,Gadget Z,504
2024-02-18,West,Widget B,1322
2024-01-06,South,Widget B,1443
2024-03-05,North,Gadget Z,1755
2024-01-17,South,Widget Y,1663
2024-01-13,East,Widget A,1213
2024-01-27,West,Widget C,1379
2024-03-25,West,Widget X,1075
2024-02-29,West,Widget C,1698
2024-03-12,North,Widget B,971
2024-02-27,South,Widget B,1976
2024-01-12,West,Gadget Z,971
2024-03-14,West,Gadget Z,1518
2024-01-09,South,Widget X,947
2024-01-24,East,Gadget Z,1212
2024-01-09,South,Widget X,504
2024-03-19,West,Widget A,1886
2024-01-31,North,Gadget Z,961
2024-02-01,North,Widget C,1590
2024-03-10,East,Widget B,1418
2024-01-24,East,Widget C,1830
2024-03-28,North,Widget A,965
2024-01-26,North,Gadget Z,1412
2024-01-02,North,Gadget Z,1445
2024-02-18,West,Gadget Z,1101
2024-03-04,North,Widget Y,765
2024-03-06,North,Widget A,1865
2024-03-01,South,Widget X,1710
2024-03-13,West,Widget Y,955
2024-01-09,East,Widget C,536
2024-03-30,East,Widget B,1897
2024-01-11,West,Widget C,852
2024-02-10,West,Widget X,1482
2024-01-15,South,Widget A,946
2024-01-10,East,Gadget Z,1962
2024-03-05,South,Widget B,1394
2024-02-19,West,Widget B,1106
2024-01-26,West,Gadget Z,1674
2024-03-19,West,Gadget Z,1805
2024-03-07,West,Widget A,828
2024-01-21,North,Widget B,991
2024-03-12,West,Widget A,1807
2024-02-17,East,Widget X,775
2024-03-12,West,Widget A,1078
2024-03-10,South,Gadget Z,1077
2024-03-05,East,Widget X,569
2024-01-01,West,Widget A,766
2024-02-24,North,Gadget Z,1263
2024-02-13,South,Widget Y,1313
2024-03-16,South,Widget Y,923
2024-03-17,East,Widget X,1588
2024-03-02,North,Widget Y,2000
2024-03-07,West,Widget X,838
2024-01-17,South,Widget Y,1267
2024-02-12,West,Widget A,1639
2024-03-09,East,Widget X,1072
2024-03-19,South,Widget A,982
2024-02-21,West,Gadget Z,604
2024-02-01,North,Widget C,662
2024-01-29,East,Gadget Z,1727
2024-03-15,South,Widget Y,956
2024-02-16,North,Widget B,815
2024-03-20,South,Widget A,1882
2024-01-06,West,Widget B,1642
2024-03-29,West,Widget C,1914
2024-01-08,North,Widget B,1650
2024-01-01,South,Widget A,1103
2024-01-25,East,Widget A,1759
2024-02-29,South,Gadget Z,657
2024-03-02,East,Gadget Z,1643
2024-03-08,North,Widget Y,1903
2024-02-26,South,Widget A,1537
2024-02-15,West,Widget B,1854
2024-03-29,North,Widget X,1036
2024-02-07,South,Widget B,775
2024-03-01,West,Widget C,1280
2024-01-10,East,Widget Y,1384
2024-03-28,West,Widget A,1258
2024-03-10,South,Widget Y,1052
2024-01-21,South,Widget B,1787
2024-03-18,South,Widget A,1972
2024-02-04,West,Widget X,945
2024-01-27,West,Gadget Z,786
2024-03-24,South,Widget A,1897
2024-03-27,South,Widget Y,1978
2024-03-31,North,Gadget Z,1104
2024-03-24,South,Gadget Z,1705
2024-01-27,South,Widget X,1017
2024-01-07,North,Widget X,1854
2024-01-10,West,Widget A,1288
2024-03-29,West,Widget C,746
2024-01-04,East,Widget A,892
2024-03-03,South,Widget Y,610
2024-03-01,South,Widget Y,891
2024-01-11,South,Gadget Z,654
2024-01-12,North,Widget A,1715
2024-01-31,West,Widget C,972
2024-01-24,South,Gadget Z,1045
2024-02-26,West,Widget A,1311
2024-01-08,South,Widget C,1207
2024-03-24,North,Gadget Z,910
2024-02-13,North,Widget A,1228
2024-02-06,South,Widget B,993
2024-02-02,South,Widget B,598
2024-01-25,North,Widget X,1090
2024-01-05,West,Widget Y,1090
2024-02-16,North,Widget C,1117
2024-02-16,North,Widget Y,1642
2024-03-17,East,Widget Y,1210
2024-01-03,South,Widget Y,1852
2024-03-19,East,Widget A,1328
2024-03-22,North,Widget B,1259
2024-02-25,East,Widget B,1134
2024-03-09,South,Widget X,1722
2024-02-27,North,Widget C,617
2024-01-15,South,Widget X,1389
2024-03-28,West,Widget X,952
2024-03-27,South,Widget B,580
