company_name,industry,employee_count,annual_revenue,tech_stack,ai_initiatives,decision_maker_title,lead_source,pipeline_stage,last_contact_date,meetings_held,deal_size,expected_close_date
Innovative Learning Industries,Insurance,120,4635314,Hybrid,None,VP of Technology,LinkedIn,Discovery,2025-02-08,2,42149,2025-05-03
Finance,Manufacturing,34,39465113,On-Premise,Computer Vision,CIO,Cold Outreach,Discovery,2025-01-21,2,142738,2025-05-05
Future Soft Corp,Energy,34,4635314,Azure,Chatbots,CTO,Cold Outreach,Discovery,2025-01-13,2,37586,2025-04-11
Store Partners,Media,34,39465113,AWS,Predictive Maintenance,IT Manager,Content Marketing,Discovery,2025-01-20,1,74519,2025-05-02
Digital Media,Technology,770,4635314,On-Premise,Predictive Maintenance,IT Manager,Cold Outreach,Initial Contact,2025-02-21,0,41951,2025-06-02
Future Systems,Insurance,770,505555070,Hybrid,Recommendation Systems,Head of Digital Transformation,Webinar,Discovery,2025-02-19,1,1474323,2025-04-29
Health Corp,Logistics,120,4635314,On-Premise,None,Director of Innovation,Conference,Discovery,2025-03-07,1,35374,2025-04-18
Pro Insight Labs,Retail,2367,4635314,AWS,Data Analytics,VP of Technology,LinkedIn,Proposal,2025-02-22,2,42126,2025-04-09
Digital Health Labs,Insurance,120,4635314,Legacy Systems,Data Analytics,CTO,Cold Outreach,Discovery,2025-02-12,2,25788,2025-05-01
Digital Finance Group,Energy,2367,505555070,Legacy Systems,Predictive Maintenance,IT Manager,Content Marketing,Initial Contact,2025-01-29,1,1816128,2025-05-25
Media Industries,Energy,770,101939266,On-Premise,Recommendation Systems,Director of Innovation,Webinar,Initial Contact,2025-02-18,5,209379,2025-05-19
Modern Finance,Media,120,4635314,Google Cloud,Computer Vision,IT Manager,Conference,Closed Won,2025-02-19,2,45053,2025-03-12
Health Group,Technology,34,39465113,On-Premise,Data Analytics,CTO,Referral,Discovery,2025-03-06,1,59446,2025-05-01
Media,Manufacturing,120,101939266,Azure,Computer Vision,CEO,Referral,Proposal,2025-03-11,0,281994,2025-04-03
Digital Systems,Media,120,39465113,Azure,None,CTO,Conference,Closed Won,2025-03-07,0,148723,2025-03-12
Innovative Finance Solutions,Media,120,39465113,Legacy Systems,Data Analytics,Head of Digital Transformation,Webinar,Initial Contact,2025-01-30,1,101356,2025-05-20
Global Health Industries,Retail,120,4635314,Google Cloud,Data Analytics,CTO,Content Marketing,Closed Won,2025-02-28,0,30789,2025-03-12
Next Soft,Education,34,4635314,AWS,Process Automation,CTO,Conference,Proposal,2025-02-14,0,21120,2025-03-29
Learning,Technology,120,101939266,Azure,Data Analytics,Head of Digital Transformation,LinkedIn,Initial Contact,2025-01-25,1,456172,2025-06-04
Tech Soft,Healthcare,120,505555070,Legacy Systems,Exploratory,VP of Technology,LinkedIn,Discovery,2025-02-06,0,1580730,2025-05-01
Pro Finance Inc,Media,2367,39465113,Hybrid,Chatbots,CTO,Referral,Negotiation,2025-01-22,3,132870,2025-03-22
Future Finance,Telecommunications,770,4635314,Legacy Systems,Exploratory,Head of Digital Transformation,Cold Outreach,Discovery,2025-02-26,0,22336,2025-04-19
Next Learning LLC,Education,770,4635314,Azure,Recommendation Systems,Director of Innovation,Content Marketing,Closed Lost,2025-02-14,2,25373,2025-03-12
Global Insight,Healthcare,34,101939266,Azure,Recommendation Systems,CEO,Referral,Discovery,2025-01-26,1,479923,2025-04-13
Next Store Corp,Telecommunications,34,101939266,Legacy Systems,Computer Vision,CEO,Cold Outreach,Proposal,2025-02-13,5,431173,2025-04-09
Modern Learning,Technology,34,101939266,AWS,Exploratory,CTO,Cold Outreach,Discovery,2025-03-03,0,471345,2025-04-30
Advance Data LLC,Finance,770,101939266,On-Premise,Exploratory,VP of Technology,Partner,Negotiation,2025-02-14,1,182265,2025-03-21
Innovative Health,Telecommunications,34,39465113,Azure,Exploratory,VP of Technology,LinkedIn,Proposal,2025-01-14,4,93872,2025-04-04
Global Health,Logistics,120,4635314,Legacy Systems,None,Director of Innovation,Webinar,Initial Contact,2025-01-24,3,33429,2025-05-21
Insight,Education,34,4635314,Legacy Systems,Data Analytics,CTO,Website,Initial Contact,2025-01-14,3,47429,2025-05-16
Finance Labs,Telecommunications,770,101939266,Google Cloud,Chatbots,CEO,Webinar,Initial Contact,2025-02-18,1,304782,2025-05-12
Learning,Real Estate,120,39465113,On-Premise,Computer Vision,VP of Technology,Website,Initial Contact,2025-01-24,0,79486,2025-05-17
